company_name,website,description,source,last_round
Aeroseal,https://aeroseal.com/ ,"Aeroseal’s mission is to shrink carbon emissions with our breakthrough technologies -- 1 gigaton of CO2 annually. Driven by a passionate team in a dynamic culture, Aeroseal exists to advance sustainability through innovation. We have already completed nearly 200,000 seals, saving up to $2 billion in energy waste globally.",EIP,Seed
Arcadia,https://www.arcadiapower.com,"Founded in 2014, Arcadia is a nationwide clean energy platform with one simple mission — to promote clean, renewable power across the United States.",EIP,Seed
AssetCool,https://www.assetcool.com,"AssetCool develops advanced robotics and functional
coatings for energy infrastructure. Its core platform increases the capacity and
efficiency of power lines through direct application of thermal-management
nanomaterials. Its platform technology in chemistry and robotics allows it to address
a range of constraints for transmission network operators.",EIP,Seed
AtmosZero,http://www.atmoszero.energy,"AtmosZero is reimagining the boiler room for a decarbonized future by introducing its carbon-neutral, industrial electric boiler to enable pathways for a more sustainable future. By streamlining the process from design to installation, its high-efficiency electrified steam generator offers the most cost-effective, scalable, and secure solution to decarbonize steam production across industrial manufacturing, or wherever steam is used today.",EIP,Seed
Atomic Canyon,https://www.atomic-canyon.com,"Atomic Canyon is transforming the nuclear energy sector with AI-powered solutions that streamline operations, enhance efficiency, and support regulatory compliance. Neutron Enterprise, which leverages FERMI AI models that are specifically trained on nuclear terminology, is currently in use at PG&E’s Diablo Canyon Power Plant as the only dedicated AI platform for document search, retrieval, augmented generation, and knowledge management, establishing a new standard for precision, efficiency, and data management. These models were developed in collaboration with Oak Ridge National Laboratory, utilizing Frontier, the world's fastest supercomputer, along with the Nuclear Regulatory Commission’s (NRC’s) ADAMS database.",EIP,Seed
Audette,https://www.audette.io,"Based in Victoria, B.C., Audette is on a mission to create a carbon-transition plan for every building on the planet. By creating a meaningful path forward to decarbonization across the real-estate industry, Audette’s proprietary data-driven technology expedites emissions reduction and enables it to scale globally. The future is carbon-free, and Audette is meeting those future needs today.",EIP,Seed
Bedrock Energy,https://bedrockenergy.com,"Bedrock Energy is a technology company transforming the heating and cooling of buildings, using geothermal energy to radically reduce costs for people and the environment. Bedrock designs, constructs, and delivers geothermal using novel drilling technologies that enable widespread, affordable, and accessible installations of carbon-free geothermal HVAC for urban real estate properties. This allows properties to reduce heating and cooling costs up to 50% and cut direct emissions to zero.",EIP,Seed
Boston Metal,https://www.bostonmetal.com,Boston Metal is a global metals technology solutions company that is electrifying and decarbonizing steelmaking.,EIP,Seed
Carbon America,https://www.carbonamerica.com,"Carbon America is a vertically integrated super developer of carbon capture and sequestration projects founded with a climate impact-focused mission to accelerate the technological, financial and operational maturity of CCS.",EIP,Seed
Ceibo,http://www.ceibo.tech,"Ceibo is a Chile-based company developing advanced technologies to increase the production of copper and other critical minerals, while achieving more sustainable operations for mining companies.   Ceibo has developed a set of clean technologies that have been successfully scaled up and are being operated by Ceibo’s team at some of the largest mines in the world, bringing more efficient operations and a positive environmental impact.",EIP,Seed
Consultcelerity,https://www.consultcelerity.com,"Celerity, headquartered in San Francisco and founded in 2001, is a leading provider of information management services focused on the retrieval, organization and analysis of complex data for gas and electric utilities, state governments, law firms, and corporations.",EIP,Seed
Chargerhelp,https://www.chargerhelp.com,"Chargerhelp! is the first and only on demand repair
app for electric vehicle charging stations. The clean-tech start up’s commitment is two fold:
creating an innovative solution within the electric vehicle (EV) industry that encourages climate
change and job creation through workforce development across the United States. The
company’s motto is simple: getting EV charging stations and people back to work.",EIP,Seed
